,blurb,href,id,numrate,price,seller,stars
19,PRECOMMANDE illustrated display Nantes panoramic 100X35 cm (yellow crane version),https://www.etsy.com/listing/544376896/precommande-illustrated-display-nantes?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-20,544376896,31,36.76,MarillonTheBeef,4.9412
20,"PET PORTRAIT from your favorite photo, Labrador, Dog Portrait, Custom pet portrait, Gift for her, Pet memorial, Dog memorial, pet loss",https://www.etsy.com/listing/276043646/pet-portrait-from-your-favorite-photo?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-21&frs=1,276043646,61,98.00,PawPrintsPetArt,5
21,108 Asanas Flashcards \\ Yoga Cards \\ 108YogaLove \\ Align. Refine. Design .. The Union of Yoga & Art,https://www.etsy.com/listing/476007876/108-asanas-flashcards-yoga-cards?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-22&frs=1&bes=1,476007876,381,45.00,108YogaLove,4.962
22,Cactus Succulent Laptop Sticker // Cactus Print // Cactus Plant // Succulent Plant,https://www.etsy.com/listing/534594040/cactus-succulent-laptop-sticker-cactus?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-23,534594040,537,3.00,Sundivided,4.8519
23,"Black and White Christmas Decor - NOeL, Minimalist Christmas PRINTABLE, Funny Christmas Decorations, Word Art, Holiday Printable, Wall Art",https://www.etsy.com/listing/253390376/black-and-white-christmas-decor-noel?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-24,253390376,844,5.00,FromTheRookery,4.9722
24,"Chicago Cubs SVG files, baseball designs contains dxf, eps, svg, jpg, png and pdf files. PB-032",https://www.etsy.com/listing/508235568/chicago-cubs-svg-files-baseball-designs?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-25,508235568,210,2.00,PlayballSVG,4.9167
25,Overwatch Travel Posters,https://www.etsy.com/listing/521815941/overwatch-travel-posters?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-26&bes=1,521815941,240,15.00,StephologyShop,4.9894
26,"Lion face print, lion print, lion poster, animal poster, lion wall decor, lion painting, lion watercolor, lion nursery print lion home decor",https://www.etsy.com/listing/537682179/lion-face-print-lion-print-lion-poster?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-27,537682179,269,6.90,DigitalRomashka,4.9565
27,"Saved By Grace SVG & DXF Cut File for Cricut Explore and Silhouette Cameo, Grace, Faith, Christian Bible Verse Scripture Art Download",https://www.etsy.com/listing/507290391/saved-by-grace-svg-dxf-cut-file-for?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-28&bes=1,507290391,851,4.99,SVGBliss,4.9712
28,New York map Manhattan map INSTANT DOWNLOAD Poster Print Wall Art Modern Map Decor Nursery decor New York Street Map personalized map,https://www.etsy.com/listing/530004179/new-york-map-manhattan-map-instant?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-29&pro=1,530004179,116,3.00,IWasHerePrints,4.95
